	Hotel Name	Price	Amenities	Reviews
66	Four Points by Sheraton New Delhi, Airport Highway	₹ 3,024	Pool+Restaurant	4 of 5 bubbles
67	Hindustan by Backpackers Heaven	₹ 1,128	Free Wifi	4.5 of 5 bubbles
68	Hotel Prince Palace Deluxe	₹ 1,407	Free Wifi+Restaurant	4.5 of 5 bubbles
69	Hotel Connaught Royale	₹ 5,488	Free Wifi+Restaurant	4 of 5 bubbles
70	Hotel Emperor Palms	₹ 3,472	Free Wifi+Free parking	4.5 of 5 bubbles
71	Hotel Sunstar Residency	₹ 1,680	Free Wifi+Free parking	4.5 of 5 bubbles
72	Hotel Sunshine	₹ 850	Free Wifi+Free parking	4.5 of 5 bubbles
73	Capital O 467 Hotel Livasa Inn	₹ 2,464	Free Wifi+Free parking	3.5 of 5 bubbles
74	Hotel Sunstar Grand	₹ 2,464	Restaurant+Room service	4.5 of 5 bubbles
75	goStops Delhi	₹ 1,091	Free Wifi	4 of 5 bubbles
76	Tivoli Grand Resort Hotel	₹ 3,046		4 of 5 bubbles
77	Hotel Viva Palace	₹ 1,278	Free Wifi+Free parking	3 of 5 bubbles
78	Hotel Aura	₹ 1,613	Free Wifi+Restaurant	3.5 of 5 bubbles
79	Ashok Country Resort	₹ 2,387	Free Wifi+Free parking	3 of 5 bubbles
80	Shervani Nehru Place	₹ 2,500	Free Wifi+Free parking	4 of 5 bubbles
81	Hotel Divine Paradise	₹ 3,510	Free Wifi+Free parking	3.5 of 5 bubbles
82	The Estate Villa	₹ 6,160	Free Wifi+Free parking	4.5 of 5 bubbles
83	Caspia Hotel New Delhi Shalimar Bagh	₹ 2,481	Free Wifi+Free parking	4 of 5 bubbles
84	Hotel Rama Deluxe	₹ 2,128	Free Wifi+Free parking	3.5 of 5 bubbles
85	Hotel Hari Piorko	₹ 1,172	Free Wifi+Restaurant	4 of 5 bubbles
86	PodStop	₹ 599	Free Wifi+Free parking	4 of 5 bubbles
87	The Pearl Hotel	₹ 840	Free Wifi+Restaurant	3 of 5 bubbles
88	Seven Seas Hotel	₹ 5,600	Free Wifi+Free parking	4.5 of 5 bubbles
89	Hotel Surya International	₹ 1,772	Free Wifi+Free parking	4 of 5 bubbles
90	The Neem	₹ 3,349	Free Wifi+Free parking	4.5 of 5 bubbles
91	On The House	₹ 2,591	Free Wifi+Free parking	4.5 of 5 bubbles
92	Hotel Shelton	₹ 1,128	Free Wifi+Restaurant	4 of 5 bubbles
93	Rockland Hotel C R Park	₹ 3,679	Free Wifi+Free parking	4 of 5 bubbles
94	Smyle Inn	₹ 761	Free Wifi	4 of 5 bubbles
95	Hide-In Hostel Delhi	₹ 2,015	Free Wifi+Free parking	4.5 of 5 bubbles
96	Hotel Rupam	₹ 1,444	Free Wifi+Restaurant	4.5 of 5 bubbles
97	Hotel Jivitesh	₹ 3,711	Free Wifi+Free parking	4 of 5 bubbles
98	Hotel Aman Continental	₹ 2,519	Free Wifi+Restaurant	4 of 5 bubbles
99	Svelte Hotel and Personal Suites	₹ 8,846	Free parking+Pool	3.5 of 5 bubbles
100	Capital O 16011 Hotel Mohan International	₹ 2,015	Free Wifi+Restaurant	4 of 5 bubbles
101	The JRD Luxury Boutique Hotel	₹ 1,630	Free Wifi+Free parking	4 of 5 bubbles
102	Hotel Persona International	₹ 1,663	Free Wifi+Free parking	4 of 5 bubbles
103	Hotel Regent Grand	₹ 2,735	Free Wifi+Free parking	4 of 5 bubbles
104	Colonels Retreat 2	₹ 2,961	Free Wifi+Free parking	5 of 5 bubbles
105	New King Hotel	₹ 500	Free Wifi	4 of 5 bubbles
106	Anand Bhawan	₹ 3,058	Free Wifi+Free parking	4.5 of 5 bubbles
107	FabHotel Aries	₹ 2,065	Free Wifi+Restaurant	4.5 of 5 bubbles
108	Trimrooms Palm D'or @ New Delhi Railway Station	₹ 1,485	Free Wifi+Free parking	3.5 of 5 bubbles
109	Kuldeep Friends Hostel	₹ 500	Free Wifi	4 of 5 bubbles
110	Sarovar Portico Naraina	₹ 3,205	Free Wifi+Free parking	4 of 5 bubbles
111	FabHotel Marble Arch Karol Bagh	₹ 1,934	Free Wifi+Restaurant	4 of 5 bubbles
112	Hotel Ritz	₹ 2,071	Free Wifi+Free parking	4 of 5 bubbles
